ano;semestre;unidade;curso;qtd_ingressos;qtd_egressos;evasao
2025;1;AGEAD;Curso Superior de Tecnologia da Informação;512;110.0;78.5
2025;1;AGEAD;Curso Superior de Tecnologia de Ciência dos Dados;503;79.0;84.3
2025;1;AGEAD;Curso Superior de Tecnologia em Gestão Comercial;382;22.0;94.2
2025;1;AGEAD;Curso Superior de Tecnologia em Gestão de Mídias Sociais Digitais;204;16.0;92.2
2025;1;AGEAD;Curso Superior de Tecnologia em Gestão de Recursos Humanos;407;50.0;87.7
2025;1;AGEAD;Curso Superior de Tecnologia em Gestão de Serviços Jurídicos e Notariais;296;33.0;88.9
2025;1;AGEAD;Curso Superior de Tecnologia em Processos Gerenciais;295;70.0;76.3
2025;1;CPAN;Administração;50;6.0;88.0
2025;1;CPAN;Ciências Biológicas;35;3.0;91.4
2025;1;CPAN;Ciências Contábeis - Bacharelado;55;2.0;96.4
2025;1;CPAN;Direito;54;8.0;85.2
2025;1;CPAN;Educação Física;2;2.0;0.0
2025;1;CPAN;Geografia - Licenciatura;45;1.0;97.8
2025;1;CPAN;História - Licenciatura;35;1.0;97.1
2025;1;CPAN;Letras - Licenciatura - Habilitação em Português/Inglês;40;1.0;97.5
2025;1;CPAN;Psicologia;54;3.0;94.4
2025;1;CPAN;Sistemas de Informação - Bacharelado;55;2.0;96.4
2025;1;CPAQ;Administração;66;8.0;87.9
2025;1;CPAQ;Ciências Biológicas;53;6.0;88.7
2025;1;CPAQ;Geografia;45;3.0;93.3
2025;1;CPAQ;História;39;5.0;87.2
2025;1;CPAQ;Letras - Português e Espanhol;23;2.0;91.3
2025;1;CPAQ;Letras - Português e Inglês;32;2.0;93.8
2025;1;CPAQ;Matemática;23;2.0;91.3
2025;1;CPAQ;Pedagogia;54;1.0;98.1
2025;1;CPAR;Administração;51;4.0;92.2
2025;1;CPCS;Administração;53;3.0;94.3
2025;1;CPCS;Agronomia;57;9.0;84.2
2025;1;CPCS;Engenharia Florestal - Bacharelado;36;3.0;91.7
2025;1;CPCX;Letras - Português - Licenciatura;42;3.0;92.9
2025;1;CPNA;Administração - Bacharelado;72;8.0;88.9
2025;1;CPNA;Ciências Contábeis;40;2.0;95.0
2025;1;CPNA;Engenharia de Produção;51;2.0;96.1
2025;1;CPNA;História - Licenciatura;34;3.0;91.2
2025;1;CPNV;Administração;45;1.0;97.8
2025;1;CPNV;Arquitetura e Urbanismo;33;4.0;87.9
2025;1;CPPP;Pedagogia;50;4.0;92.0
2025;1;CPPP;Sistemas de Informação - Bacharelado;44;5.0;88.6
2025;1;CPTL;Administração;63;8.0;87.3
